Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
105,Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,22-182,2002,12.2,957,49,272,494,207,15,957,31,15,48.4,10,32.3,565,3051,1699,26,27,7,7,11,643,31,Matches
106,Sergio Camello,es ESP,FW,Rayo Vallecano,24-090,2001,12.6,398,17,39,173,196,46,398,23,13,56.5,8,34.8,222,1128,554,20,16,8,38,23,308,68,Matches
107,José Campaña,es ESP,MF,Las Palmas,31-345,1993,12.4,889,37,208,542,146,5,889,18,8,44.4,8,44.4,445,2037,926,10,12,1,15,12,573,15,Matches
108,Peio Canales,es ESP,"MF,FW",Athletic Club,20-114,2005,2.1,99,2,10,47,42,3,99,7,3,42.9,3,42.9,60,357,158,5,3,2,2,3,64,10,Matches
109,Antonio Candela,it ITA,DF,Valladolid,25-014,2000,8.6,461,31,206,188,74,6,461,12,6,50.0,6,50.0,232,1413,732,14,7,1,7,5,295,25,Matches
110,Sergi Canós,es ESP,"MF,FW",Valencia,28-098,1997,4.0,224,6,33,72,120,20,224,13,1,7.7,12,92.3,122,524,279,7,6,4,12,5,160,45,Matches
111,Cárdenas,es ESP,GK,Rayo Vallecano,28-044,1997,6.0,190,165,189,1,0,0,190,0,0,,0,,95,468,246,0,0,0,0,0,71,0,Matches
112,Irvin Cardona,fr FRA,"FW,MF",Espanyol,27-276,1997,6.7,246,7,27,98,123,23,246,13,3,23.1,8,61.5,114,874,460,14,14,6,22,4,167,43,Matches
113,Marc Cardona,es ESP,"FW,DF",Las Palmas,29-307,1995,1.2,64,0,12,29,23,6,64,6,1,16.7,5,83.3,38,131,50,2,0,0,2,2,47,10,Matches
114,Sergi Cardona,es ESP,DF,Villarreal,25-307,1999,31.5,1776,119,677,608,498,62,1776,30,10,33.3,16,53.3,791,3623,2000,51,34,10,22,11,925,194,Matches
115,Johnny Cardoso,us USA,MF,Betis,23-233,2001,21.7,1291,82,350,771,187,25,1291,40,24,60.0,15,37.5,670,2932,1311,18,14,1,35,22,794,27,Matches
116,Carmona,es ESP,DF,Sevilla,23-102,2002,30.0,2047,101,677,1084,315,16,2047,45,17,37.8,23,51.1,824,4581,2528,37,24,7,33,18,1052,50,Matches
117,Sergio Carreira,es ESP,"MF,DF",Celta Vigo,24-210,2000,16.4,940,32,237,362,348,47,940,28,12,42.9,13,46.4,507,2724,1281,34,20,14,15,14,591,128,Matches
118,Dani Carvajal,es ESP,DF,Real Madrid,33-120,1992,6.8,532,26,126,232,176,12,532,5,2,40.0,3,60.0,278,1288,513,13,5,0,8,6,376,48,Matches
119,William Carvalho,pt POR,MF,Betis,33-034,1992,4.3,330,8,74,198,62,3,330,5,3,60.0,1,20.0,226,914,433,4,7,0,4,6,259,7,Matches
120,Marc Casado,es ESP,MF,Barcelona,21-239,2003,17.9,1536,25,223,1040,276,9,1536,9,4,44.4,4,44.4,870,3523,1540,12,22,0,17,9,1172,24,Matches
121,Catena,es ESP,DF,Osasuna,30-195,1994,30.2,1693,245,876,783,46,31,1693,9,8,88.9,1,11.1,867,4133,2332,9,3,0,9,1,967,2,Matches
122,Maximiliano Caufriez,be BEL,DF,Valencia,28-084,1997,1.0,23,6,17,6,0,0,23,0,0,,0,,8,68,3,0,0,0,0,0,10,0,Matches
123,Dani Ceballos,es ESP,MF,Real Madrid,28-277,1996,10.8,1188,27,215,781,201,6,1188,14,8,57.1,2,14.3,792,4183,2407,36,22,2,9,5,973,14,Matches
124,Franco Cervi,ar ARG,"FW,MF",Celta Vigo,30-350,1994,3.0,160,4,37,78,45,1,160,2,1,50.0,1,50.0,82,404,173,3,2,0,3,2,95,21,Matches
125,Raúl Chasco,es ESP,DF,Valladolid,21-240,2003,1.4,74,2,36,32,7,0,74,2,0,0.0,2,100.0,28,103,54,1,0,0,3,1,28,2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
126,Pep Chavarría,es ESP,"DF,FW",Rayo Vallecano,27-031,1998,26.4,1739,88,557,736,462,28,1739,29,8,27.6,17,58.6,813,3846,2040,52,32,6,37,5,974,121,Matches
127,Walid Cheddira,ma MAR,FW,Espanyol,27-109,1998,6.8,190,5,21,93,79,30,190,18,4,22.2,13,72.2,99,449,201,7,5,7,25,9,131,32,Matches
