Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
113,Marc Cucurella,es ESP,DF,Chelsea,26-293,1998,30.2,59,39,30,24,5,26,53,49.1,27,45,14,31,25,84,84,3,Matches
114,Jorge Cuenca,es ESP,DF,Fulham,25-175,1999,2.9,2,2,2,0,0,2,5,40.0,3,3,3,0,2,4,21,0,Matches
115,Matheus Cunha,br BRA,"MF,FW",Wolves,25-349,1999,27.6,35,21,16,15,4,11,36,30.6,25,21,1,20,17,52,23,0,Matches
116,Patson Daka,zm ZAM,"FW,MF",Leicester City,26-214,1998,7.3,17,9,4,9,4,7,17,41.2,10,7,1,6,1,18,10,0,Matches
117,Diogo Dalot,pt POR,DF,Manchester Utd,26-054,1999,31.0,67,39,39,22,6,34,52,65.4,18,22,9,13,37,104,72,0,Matches
118,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24-312,2000,30.5,80,43,27,27,26,30,77,39.0,47,39,2,37,26,106,30,2,Matches
119,Danilo,br BRA,"MF,FW",Nott'ham Forest,24-012,2001,3.0,6,3,5,1,0,2,4,50.0,2,2,1,1,3,9,3,0,Matches
120,Jayden Danns,eng ENG,MF,Liverpool,19-115,2006,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
121,Kevin Danso,at AUT,DF,Tottenham,26-234,1998,6.4,6,5,3,3,0,5,8,62.5,3,7,7,0,3,9,44,1,Matches
122,Ben Davies,wls WAL,DF,Tottenham,32-017,1993,12.5,14,10,6,8,0,7,14,50.0,7,24,16,8,12,26,65,1,Matches
123,Leif Davis,eng ENG,DF,Ipswich Town,25-119,2000,28.5,45,26,32,9,4,29,46,63.0,17,24,8,16,25,70,72,3,Matches
124,Craig Dawson,eng ENG,DF,Wolves,35-005,1990,10.8,15,3,8,6,1,12,15,80.0,3,16,11,5,9,24,52,1,Matches
125,Kevin De Bruyne,be BEL,"MF,FW",Manchester City,33-317,1991,18.1,17,9,7,5,5,5,23,21.7,18,8,0,8,7,24,10,1,Matches
