Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
115,Sidiki Cherif,fr FRA,FW,Angers,18-147,2006,3.6,5,5,1,3,1,3,4,75.0,1,4,1,3,0,5,0,1,Matches
116,Rayan Cherki,fr FRA,"FW,MF",Lyon,21-267,2003,21.7,14,11,3,7,4,5,26,19.2,21,6,0,6,7,21,6,0,Matches
117,Lucas Chevalier,fr FRA,GK,Lille,23-186,2001,33.0,3,2,3,0,0,3,4,75.0,1,0,0,0,0,3,13,4,Matches
118,Pedro Chirivella,es ESP,MF,Nantes,27-353,1997,25.1,41,28,20,16,5,18,41,43.9,23,24,3,21,16,57,42,0,Matches
119,Joris Chotard,fr FRA,MF,Montpellier,23-229,2001,19.0,39,25,17,20,2,20,43,46.5,23,27,9,18,19,58,52,1,Matches
120,Djaoui Cissé,fr FRA,MF,Rennes,21-100,2004,11.5,32,18,12,14,6,15,25,60.0,10,27,4,23,13,45,9,1,Matches
121,Yoann Cissé,fr FRA,MF,Auxerre,20-149,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
122,Jonathan Clauss,fr FRA,"DF,MF",Nice,32-228,1992,24.7,51,35,27,18,6,28,55,50.9,27,24,2,22,47,98,67,3,Matches
123,Marcus Coco,fr FRA,DF,Nantes,28-321,1996,10.6,27,21,15,9,3,16,31,51.6,15,16,5,11,11,38,46,0,Matches
124,Alois Confais,fr FRA,MF,Le Havre,28-246,1996,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
125,Francis Coquelin,fr FRA,MF,Nantes,33-363,1991,1.7,6,2,4,2,0,1,2,50.0,1,3,1,2,5,11,3,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
126,Derek Cornelius,ca CAN,DF,Marseille,27-167,1997,15.8,24,17,15,8,1,17,22,77.3,5,16,10,6,14,38,51,0,Matches
127,Pierre Cornud,fr FRA,DF,Saint-Étienne,28-150,1996,6.4,12,10,6,4,2,8,17,47.1,9,9,4,5,9,21,28,1,Matches
128,David Costa,pt POR,"MF,FW",Lens,24-126,2001,3.9,2,0,1,1,0,1,4,25.0,3,5,1,4,1,3,0,0,Matches
