Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
96,Ben Chilwell,eng ENG,DF,Crystal Palace,28-141,1996,6,0,139,1.5,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,2,3,10,0.00,0.00,0.00,0.00,0.00,0.05,0.13,0.18,0.05,0.18,Matches
97,Chiquinho,pt POR,MF,Wolves,25-095,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.42,0.00,0.42,Matches
98,Hamza Choudhury,bd BAN,"MF,DF",Leicester City,27-222,1997,4,1,131,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,4,3,6,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.27,0.00,0.27,Matches
99,Ryan Christie,sct SCO,MF,Bournemouth,30-078,1995,29,27,2117,23.5,2,3,5,2,0,0,9,0,1.8,1.8,3.5,5.4,34,137,44,0.09,0.13,0.21,0.09,0.21,0.08,0.15,0.23,0.08,0.23,Matches
100,Harry Clarke,eng ENG,DF,Ipswich Town,24-070,2001,7,4,379,4.2,0,0,0,0,0,0,3,1,0.1,0.1,0.0,0.1,5,14,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
101,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,24-169,2000,30,11,1090,12.1,0,4,4,0,0,0,2,0,1.0,1.0,2.1,3.0,34,38,48,0.00,0.33,0.33,0.00,0.33,0.08,0.17,0.25,0.08,0.25,Matches
102,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,34-036,1991,13,5,483,5.4,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,6,7,8,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches
103,Conor Coady,eng ENG,DF,Leicester City,32-075,1993,19,16,1444,16.0,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,3,30,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
104,Séamus Coleman,ie IRL,DF,Everton,36-212,1988,4,2,198,2.2,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,1,9,3,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.26,0.26,0.26,Matches
105,Nathan Collins,ie IRL,DF,Brentford,24-011,2001,36,36,3240,36.0,2,3,5,2,0,0,5,0,2.5,2.5,1.8,4.3,30,121,18,0.06,0.08,0.14,0.06,0.14,0.07,0.05,0.12,0.07,0.12,Matches
106,Toby Collyer,eng ENG,MF,Manchester Utd,21-128,2004,6,0,179,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,0,5,2,0.00,0.00,0.00,0.00,0.00,0.09,0.13,0.22,0.09,0.22,Matches
107,Levi Colwill,eng ENG,DF,Chelsea,22-074,2003,32,32,2879,32.0,1,1,2,1,0,0,8,0,1.3,1.3,1.1,2.5,13,125,11,0.03,0.03,0.06,0.03,0.06,0.04,0.04,0.08,0.04,0.08,Matches
108,Lewis Cook,eng ENG,"MF,DF",Bournemouth,28-097,1997,35,31,2906,32.3,1,3,4,1,0,0,8,0,0.9,0.9,4.1,5.1,33,155,51,0.03,0.09,0.12,0.03,0.12,0.03,0.13,0.16,0.03,0.16,Matches
109,Maxwel Cornet,ci CIV,FW,Southampton,28-226,1996,2,1,72,0.8,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,0,5,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.20,Matches
110,Vladimír Coufal,cz CZE,DF,West Ham,32-262,1992,19,9,876,9.7,0,0,0,0,0,0,4,0,0.2,0.2,0.6,0.8,15,33,25,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08,Matches
