Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
106,Andrea Carboni,it ITA,DF,Monza,24-096,2001,21.3,1216,126,571,537,111,17,1216,7,4,57.1,3,42.9,695,2649,1327,8,12,0,13,5,792,28,Matches
107,Franco Carboni,it ITA,DF,Venezia,22-037,2003,2.5,128,11,62,39,29,2,128,6,2,33.3,3,50.0,70,303,184,2,1,0,4,3,68,11,Matches
108,Marco Carnesecchi,it ITA,GK,Atalanta,24-314,2000,32.0,1106,969,1103,3,0,0,1106,0,0,,0,,647,3334,1862,0,0,0,0,0,555,0,Matches
109,Cesare Casadei,it ITA,"MF,FW",Torino,22-121,2003,9.3,424,27,89,254,85,18,424,10,7,70.0,2,20.0,225,1393,569,13,7,0,17,8,294,12,Matches
110,Nicolò Casale,it ITA,DF,Bologna,27-086,1998,8.0,493,54,241,243,14,6,493,2,2,100.0,0,0.0,262,1248,533,2,1,0,6,0,276,1,Matches
111,Nicolò Casale,it ITA,DF,Lazio,27-086,1998,1.5,124,9,39,83,2,2,124,0,0,,0,,83,375,211,0,1,1,1,0,99,0,Matches
112,Federico Cassa,it ITA,"MF,FW",Atalanta,19-099,2006,0.2,9,0,1,2,6,0,9,1,0,0.0,1,100.0,9,61,41,1,2,1,0,0,8,2,Matches
113,Valentín Castellanos,ar ARG,FW,Lazio,26-220,1998,24.5,778,19,53,334,400,140,775,35,16,45.7,17,48.6,394,1790,797,26,21,15,52,28,582,136,Matches
114,Santiago Castro,ar ARG,FW,Bologna,20-224,2004,24.4,693,22,54,302,345,96,692,42,18,42.9,22,52.4,412,1815,572,15,22,7,68,63,499,131,Matches
115,Gaetano Castrovilli,it ITA,MF,Monza,28-083,1997,5.7,270,12,56,133,84,9,270,10,4,40.0,5,50.0,161,809,443,9,6,0,9,7,165,25,Matches
116,Gaetano Castrovilli,it ITA,"MF,FW",Lazio,28-083,1997,1.6,99,2,18,57,24,6,99,2,1,50.0,1,50.0,58,333,176,5,1,1,2,4,68,6,Matches
117,Danilo Cataldi,it ITA,MF,Fiorentina,30-278,1994,19.2,1147,55,284,720,151,7,1147,10,3,30.0,4,40.0,657,3018,1172,18,22,1,13,7,764,16,Matches
