Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
10,Martin Adeline,fr FRA,MF,Reims,21-161,2003,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
11,Adryelson,br BRA,DF,Lyon,27-050,1998,1,0,1,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
12,Emmanuel Agbadou,ci CIV,DF,Reims,27-329,1997,14,14,1260,14.0,0,0,0,0,0,0,3,0,0.5,0.5,0.3,0.8,10,77,0,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
13,Jeremy Agbonifo,se SWE,"FW,MF",Lens,19-200,2005,8,1,300,3.3,1,0,1,1,0,0,1,0,0.7,0.7,0.2,0.9,13,6,36,0.30,0.00,0.30,0.30,0.30,0.21,0.06,0.26,0.21,0.26,Matches
14,Ruben Aguilar,fr FRA,"DF,MF",Lens,32-016,1993,15,12,1045,11.6,1,1,2,1,0,0,4,0,0.7,0.7,1.3,2.1,32,67,91,0.09,0.09,0.17,0.09,0.17,0.06,0.12,0.18,0.06,0.18,Matches
15,Naouirou Ahamada,fr FRA,"MF,FW",Rennes,23-044,2002,3,0,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
16,Jean-Eudes Aholou,ci CIV,MF,Angers,31-053,1994,26,26,1959,21.8,2,0,2,2,0,0,7,0,1.8,1.8,1.0,2.8,15,68,16,0.09,0.00,0.09,0.09,0.09,0.08,0.05,0.13,0.08,0.13,Matches
17,Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,19-321,2005,5,1,127,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,5,8,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
18,Ludovic Ajorque,fr FRA,FW,Brest,31-076,1994,30,28,2413,26.8,13,2,15,13,0,1,5,0,10.1,9.3,3.1,12.4,10,41,121,0.48,0.07,0.56,0.48,0.56,0.38,0.11,0.49,0.35,0.46,Matches
19,Ümit Akdag,ro ROU,DF,Toulouse,21-218,2003,8,6,495,5.5,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.1,4,29,9,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.01,0.03,Matches
20,Sergio Akieme,es ESP,DF,Reims,27-147,1997,29,28,2433,27.0,1,3,4,1,0,0,5,0,1.4,1.4,2.5,4.0,54,86,93,0.04,0.11,0.15,0.04,0.15,0.05,0.09,0.15,0.05,0.15,Matches
21,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,23-076,2002,31,27,2398,26.6,5,10,15,4,1,1,2,0,9.2,8.4,7.3,15.7,126,173,226,0.19,0.38,0.56,0.15,0.53,0.35,0.27,0.62,0.32,0.59,Matches
