Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
88,Anthony Briançon,fr FRA,DF,Saint-Étienne,30-164,1994,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
89,Aurélio Buta,pt POR,DF,Reims,28-090,1997,21.2,1178,66,339,554,296,14,1178,22,9,40.9,11,50.0,539,2549,1231,28,21,4,27,7,665,63,Matches
90,Marcin Bułka,pl POL,GK,Nice,25-219,1999,33.0,1167,934,1158,9,1,1,1167,1,0,0.0,1,100.0,686,3289,2148,0,0,0,2,0,593,0,Matches
91,Rémy Cabella,fr FRA,"FW,MF",Lille,35-064,1990,10.3,829,6,72,335,436,47,829,36,19,52.8,16,44.4,491,2662,1433,42,32,11,15,9,608,118,Matches
92,Mathieu Cafaro,fr FRA,"MF,FW",Saint-Étienne,28-047,1997,8.1,324,5,61,112,153,27,324,17,7,41.2,9,52.9,169,1138,529,19,8,7,16,10,225,51,Matches
93,Duje Ćaleta-Car,hr CRO,DF,Lyon,28-236,1996,16.6,1128,201,584,514,33,20,1128,2,1,50.0,1,50.0,637,2739,1338,3,1,0,7,2,748,0,Matches
94,Issiaga Camara,gn GUI,MF,Nice,20-098,2005,0.2,23,0,4,19,2,0,23,1,0,0.0,1,100.0,11,63,28,1,0,0,1,0,13,1,Matches
95,Lamine Camara,sn SEN,MF,Monaco,21-130,2004,21.8,1659,31,246,1024,402,16,1659,25,12,48.0,8,32.0,914,4332,1803,25,28,3,40,20,1102,45,Matches
96,Mahdi Camara,fr FRA,"MF,FW",Brest,26-315,1998,28.5,1465,36,262,798,424,76,1465,62,27,43.5,27,43.5,786,4349,2335,54,36,13,37,28,948,107,Matches
97,Ousmane Camara,fr FRA,DF,Angers,22-066,2003,2.0,96,13,59,35,2,2,96,0,0,,0,,54,267,148,0,0,0,1,1,61,0,Matches
98,Axel Camblan,fr FRA,"MF,FW",Brest,21-254,2003,0.3,10,0,0,3,7,3,10,0,0,,0,,5,68,50,2,0,2,0,0,8,1,Matches
99,Jaydee Canvot,fr FRA,"DF,MF",Toulouse,18-286,2006,11.3,613,61,248,303,65,7,613,8,5,62.5,3,37.5,346,1655,792,9,4,1,6,8,396,0,Matches
100,Pierrick Capelle,fr FRA,MF,Angers,38-026,1987,5.4,299,6,47,186,73,7,299,13,8,61.5,5,38.5,138,747,331,10,4,0,15,6,173,17,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
101,Gabin Capuano,fr FRA,FW,Lens,19-015,2006,0.1,4,0,0,2,2,0,4,0,0,,0,,3,21,1,0,0,0,1,0,4,1,Matches
102,Maxence Caqueret,fr FRA,MF,Lyon,25-085,2000,6.4,419,5,66,241,116,11,419,18,7,38.9,9,50.0,211,1191,537,14,10,2,15,10,304,15,Matches
103,Simon Cara,fr FRA,"MF,FW",Montpellier,19-345,2005,0.1,7,0,0,2,5,1,7,1,0,0.0,1,100.0,5,17,5,0,0,0,0,0,5,1,Matches
104,Valentin Carboni,ar ARG,"MF,FW",Marseille,20-067,2005,1.1,81,1,6,35,40,2,81,3,0,0.0,3,100.0,51,304,100,4,4,0,2,0,69,8,Matches
105,Irvin Cardona,fr FRA,FW,Saint-Étienne,27-276,1997,9.9,451,11,46,147,262,49,450,19,5,26.3,12,63.2,255,1345,614,26,21,9,34,10,353,121,Matches
106,Patrik Carlgren,se SWE,GK,Nantes,33-123,1992,4.6,144,124,144,0,0,0,144,0,0,,0,,75,502,319,0,0,0,0,0,50,0,Matches
107,Josué Casimir,fr FRA,"FW,MF",Le Havre,23-229,2001,21.2,773,23,157,281,351,74,773,45,20,44.4,20,44.4,428,3129,1614,69,32,27,47,28,487,143,Matches
108,Cristian Cásseres Jr.,ve VEN,MF,Toulouse,25-111,2000,29.0,1660,73,427,954,313,17,1660,37,21,56.8,13,35.1,836,3993,1915,30,27,4,38,12,971,44,Matches
109,Jean-Charles Castelletto,cm CMR,"DF,MF",Nantes,30-105,1995,28.1,1622,176,729,801,96,18,1622,3,3,100.0,0,0.0,909,3902,1977,21,14,2,16,4,1067,19,Matches
110,Enzo Caumont,fr FRA,MF,Angers,21-059,2004,0.1,5,2,2,3,0,0,5,0,0,,0,,0,0,0,0,0,0,0,0,1,0,Matches
111,Fabien Centonze,fr FRA,DF,Nantes,29-115,1996,2.7,180,13,48,61,72,4,180,7,2,28.6,4,57.1,89,515,275,10,5,0,3,2,102,30,Matches
112,Brendan Chardonnet,fr FRA,DF,Brest,30-140,1994,26.8,1521,219,864,615,46,25,1521,0,0,,0,,810,3593,1835,7,6,1,7,0,948,5,Matches
113,Jhoanner Chávez,ec ECU,"DF,MF",Lens,23-016,2002,6.6,373,21,107,145,125,15,373,6,3,50.0,3,50.0,179,853,403,14,6,3,11,8,208,36,Matches
114,Théo Chennahi,fr FRA,DF,Montpellier,20-094,2005,1.0,51,3,24,20,8,0,51,2,0,0.0,2,100.0,18,102,51,0,0,0,1,0,23,1,Matches
115,Sidiki Cherif,fr FRA,FW,Angers,18-147,2006,3.6,107,1,7,50,51,12,107,12,3,25.0,8,66.7,71,404,183,8,5,3,11,9,78,16,Matches
116,Rayan Cherki,fr FRA,"FW,MF",Lyon,21-267,2003,21.7,1509,6,117,632,785,125,1509,89,44,49.4,40,44.9,980,6068,3344,97,86,39,47,42,1185,174,Matches
117,Lucas Chevalier,fr FRA,GK,Lille,23-186,2001,33.0,1124,894,1118,7,0,0,1124,0,0,,0,,713,3738,2269,0,0,0,0,0,625,0,Matches
118,Pedro Chirivella,es ESP,MF,Nantes,27-353,1997,25.1,1670,47,354,1099,233,3,1670,7,3,42.9,4,57.1,919,3981,1878,15,13,1,14,7,1197,25,Matches
119,Joris Chotard,fr FRA,MF,Montpellier,23-229,2001,19.0,952,78,290,523,145,9,952,15,8,53.3,7,46.7,445,2113,836,16,10,0,12,11,527,33,Matches
120,Djaoui Cissé,fr FRA,MF,Rennes,21-100,2004,11.5,696,20,128,404,182,3,696,17,12,70.6,4,23.5,414,2445,1160,16,25,0,12,13,497,13,Matches
121,Yoann Cissé,fr FRA,MF,Auxerre,20-149,2004,0.1,8,0,0,3,5,0,8,0,0,,0,,4,8,2,0,0,0,1,0,4,2,Matches
122,Jonathan Clauss,fr FRA,"DF,MF",Nice,32-228,1992,24.7,1628,76,374,618,651,66,1628,25,10,40.0,14,56.0,725,3362,1952,52,25,9,36,8,878,158,Matches
123,Marcus Coco,fr FRA,DF,Nantes,28-321,1996,10.6,608,47,198,295,119,4,608,10,3,30.0,7,70.0,297,1329,583,12,9,1,11,6,345,40,Matches
124,Alois Confais,fr FRA,MF,Le Havre,28-246,1996,0.0,2,0,1,1,0,0,2,0,0,,0,,1,1,0,0,0,0,0,0,1,0,Matches
125,Francis Coquelin,fr FRA,MF,Nantes,33-363,1991,1.7,87,5,19,47,21,3,87,1,1,100.0,0,0.0,47,162,79,2,2,0,3,1,50,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
