Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
387,Alberto Moreno,es ESP,DF,Como,32-310,1992,18.3,0,13,5,38.5,0.71,0.27,0.00,0.00,25.5,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
388,Matias Moreno,ar ARG,DF,Fiorentina,21-229,2003,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
389,Tete Morente,es ESP,"FW,MF",Lecce,28-158,1996,20.9,3,36,12,33.3,1.73,0.58,0.08,0.25,20.4,0,0,0,2.7,2.7,0.08,+0.3,+0.3,Matches
390,Nikola Moro,hr CRO,MF,Bologna,27-060,1998,13.3,0,14,2,14.3,1.05,0.15,0.00,0.00,26.1,1,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
391,Daniel Mosquera,co COL,FW,Hellas Verona,25-203,1999,14.3,5,53,14,26.4,3.71,0.98,0.09,0.36,13.4,0,0,0,6.3,6.3,0.12,-1.3,-1.3,Matches
392,Dany Mota,pt POR,"FW,MF",Monza,27-009,1998,23.0,5,41,11,26.8,1.79,0.48,0.12,0.45,13.1,0,0,0,5.0,5.0,0.12,0.0,0.0,Matches
393,Bob Murphy Omoregbe,it ITA,MF,Milan,21-187,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
394,Yunus Musah,us USA,"MF,FW",Milan,22-163,2002,16.0,0,21,5,23.8,1.32,0.31,0.00,0.00,19.1,0,0,0,1.9,1.9,0.09,-1.9,-1.9,Matches
395,Juan Musso,ar ARG,GK,Atalanta,31-005,1994,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
396,Kingstone Mutandwa,zm ZAM,"MF,FW",Cagliari,22-126,2003,1.0,0,4,0,0.0,3.87,0.00,0.00,,17.8,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
397,Obite N'Dicka,ci CIV,DF,Roma,25-264,1999,35.0,0,17,5,29.4,0.49,0.14,0.00,0.00,11.3,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
398,Konan N'dri,ci CIV,"FW,MF",Lecce,24-196,2000,2.3,0,8,2,25.0,3.48,0.87,0.00,0.00,19.8,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
399,Michel Ndary Adopo,fr FRA,MF,Cagliari,24-296,2000,24.8,1,20,4,20.0,0.81,0.16,0.05,0.25,15.2,0,0,0,1.1,1.1,0.06,-0.1,-0.1,Matches
400,Cher Ndour,it ITA,"MF,DF",Fiorentina,20-288,2004,3.7,0,2,0,0.0,0.53,0.00,0.00,,17.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
401,Dan Ndoye,ch SUI,FW,Bologna,24-198,2000,21.8,8,46,16,34.8,2.11,0.73,0.13,0.38,17.3,0,2,2,6.7,5.1,0.11,+1.3,+0.9,Matches
402,Victor Nelsson,dk DEN,DF,Roma,26-209,1998,2.1,0,1,0,0.0,0.48,0.00,0.00,,14.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
403,David Neres,br BRA,FW,Napoli,28-069,1997,13.6,2,27,6,22.2,1.98,0.44,0.07,0.33,18.2,0,0,0,2.0,2.0,0.08,0.0,0.0,Matches
404,Cyril Ngonge,be BEL,FW,Napoli,24-350,2000,2.2,0,13,6,46.2,5.88,2.71,0.00,0.00,20.7,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
405,Hans Nicolussi Caviglia,it ITA,MF,Venezia,24-327,2000,28.8,4,48,19,39.6,1.67,0.66,0.08,0.21,26.4,17,0,0,2.2,2.2,0.05,+1.8,+1.8,Matches
