Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
59,Yves Bissouma,ml MLI,MF,Tottenham,28-254,1996,14.4,717,804,89.2,10833,2772,394,425,92.7,261,281,92.9,36,57,63.2,0,0.3,0.6,-0.3,6,59,10,1,72,Matches
60,Oscar Bobb,no NOR,FW,Manchester City,21-303,2003,0.2,9,11,81.8,116,22,5,7,71.4,3,3,100.0,0,0,,0,0.1,0.0,-0.1,1,0,1,0,1,Matches
61,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,21-126,2004,5.3,240,272,88.2,3682,1154,129,139,92.8,107,116,92.2,3,9,33.3,0,0.1,0.1,-0.1,2,24,1,0,14,Matches
62,Willy Boly,ci CIV,DF,Nott'ham Forest,34-097,1991,1.7,55,70,78.6,1010,477,20,22,90.9,30,32,93.8,4,15,26.7,0,0.0,0.0,0.0,0,3,0,0,2,Matches
63,Sven Botman,nl NED,DF,Newcastle Utd,25-119,2000,2.6,119,135,88.1,2026,812,57,67,85.1,52,53,98.1,7,10,70.0,0,0.0,0.0,0.0,0,9,0,0,3,Matches
64,Jarrod Bowen,eng ENG,"FW,MF",West Ham,28-142,1996,30.2,517,724,71.4,8610,2531,273,329,83.0,178,233,76.4,50,90,55.6,7,6.3,6.3,+0.7,49,37,43,7,86,Matches
65,Conor Bradley,nir NIR,DF,Liverpool,21-306,2003,6.3,377,449,84.0,5606,1450,220,240,91.7,139,158,88.0,11,31,35.5,1,0.5,0.6,+0.5,5,20,3,1,26,Matches
66,Jarrad Branthwaite,eng ENG,DF,Everton,22-318,2002,27.1,936,1139,82.2,18352,7298,348,385,90.4,466,514,90.7,115,209,55.0,1,0.7,0.6,+0.3,3,81,3,0,64,Matches
67,James Bree,eng ENG,DF,Southampton,27-212,1997,10.9,459,549,83.6,7332,2010,220,243,90.5,204,232,87.9,26,50,52.0,1,0.9,0.7,+0.1,10,26,7,6,31,Matches
68,Ben Brereton,cl CHI,FW,Southampton,26-023,1999,5.0,128,166,77.1,1836,383,83,95,87.4,36,53,67.9,7,11,63.6,0,0.1,0.1,-0.1,3,9,2,1,9,Matches
69,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,27-036,1998,6.7,149,196,76.0,2132,415,91,104,87.5,51,64,79.7,3,12,25.0,0,0.6,1.1,-0.6,6,10,4,0,12,Matches
70,Armando Broja,al ALB,FW,Everton,23-243,2001,3.7,53,73,72.6,594,101,35,45,77.8,10,12,83.3,2,3,66.7,0,0.2,0.1,-0.2,4,3,0,0,2,Matches
71,David Brooks,wls WAL,"FW,MF",Bournemouth,27-307,1997,9.5,268,354,75.7,4159,1277,153,178,86.0,87,113,77.0,21,39,53.8,0,1.8,1.8,-1.8,18,19,18,6,34,Matches
72,Emi Buendía,ar ARG,"MF,FW",Aston Villa,28-137,1996,1.1,49,60,81.7,624,166,33,36,91.7,12,14,85.7,1,5,20.0,0,0.0,0.0,0.0,1,4,1,0,7,Matches
73,Santiago Bueno,uy URU,DF,Wolves,26-183,1998,18.7,741,842,88.0,13598,4177,260,281,92.5,417,444,93.9,51,91,56.0,0,0.0,0.1,0.0,0,24,2,0,28,Matches
74,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,20-139,2004,16.4,430,561,76.6,6782,1709,234,273,85.7,145,177,81.9,35,72,48.6,2,3.1,2.3,-1.1,24,40,13,2,52,Matches
75,Cameron Burgess,au AUS,DF,Ipswich Town,29-202,1995,17.1,626,774,80.9,11461,5485,259,285,90.9,295,340,86.8,64,127,50.4,2,0.5,0.4,+1.5,7,47,4,0,42,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
76,Dan Burn,eng ENG,DF,Newcastle Utd,33-002,1992,34.0,1630,1834,88.9,29674,10371,571,632,90.3,948,1001,94.7,98,160,61.3,0,0.9,1.0,-0.9,8,39,7,0,59,Matches
77,Wes Burns,wls WAL,"FW,DF",Ipswich Town,30-169,1994,10.3,153,253,60.5,2416,597,82,102,80.4,51,78,65.4,14,36,38.9,1,1.6,1.2,-0.6,10,8,8,7,8,Matches
78,Nathan Butler-Oyedeji,eng ENG,FW,Arsenal,22-127,2003,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
79,Moisés Caicedo,ec ECU,"MF,DF",Chelsea,23-190,2001,34.2,1827,2037,89.7,31575,8351,821,890,92.2,818,885,92.4,153,196,78.1,2,3.0,2.7,-1.0,29,219,31,2,197,Matches
80,Tom Cairney,sct SCO,MF,Fulham,34-111,1991,5.7,503,555,90.6,7937,1691,280,299,93.6,186,199,93.5,32,43,74.4,0,1.0,1.1,-1.0,10,47,7,3,48,Matches
