Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
76,Timothy Chandler,us USA,DF,Eint Frankfurt,35-043,1990,0.3,31,1,8,14,9,1,31,1,0,0.0,1,100.0,16,72,45,1,2,0,1,0,21,4,Matches
77,Anrie Chase,jp JPN,DF,Stuttgart,21-048,2004,8.2,622,65,253,334,40,4,622,5,2,40.0,3,60.0,334,1209,546,6,7,0,4,1,453,2,Matches
78,Arthur Chaves,br BRA,DF,Hoffenheim,24-102,2001,23.3,1457,169,649,712,108,22,1457,10,3,30.0,6,60.0,708,2786,1254,10,16,0,11,11,885,13,Matches
79,Fabio Chiarodia,it ITA,DF,Gladbach,19-340,2005,4.2,298,71,170,119,9,5,298,0,0,,0,,130,562,249,1,0,0,1,0,151,1,Matches
80,Carney Chukwuemeka,eng ENG,MF,Dortmund,21-203,2003,2.6,155,1,7,67,83,20,155,12,6,50.0,3,25.0,97,511,300,14,10,8,11,7,106,21,Matches
81,Alexis Claude-Maurice,fr FRA,"MF,FW",Augsburg,26-339,1998,22.0,932,12,104,443,412,58,932,87,41,47.1,38,43.7,579,3866,1817,57,46,8,78,46,676,95,Matches
82,Nnamdi Collins,de GER,DF,Eint Frankfurt,21-121,2004,15.4,1032,77,375,504,157,19,1032,33,12,36.4,17,51.5,587,3104,1358,30,21,6,16,11,651,42,Matches
83,Kingsley Coman,fr FRA,FW,Bayern Munich,28-332,1996,13.6,888,13,80,313,504,81,888,71,37,52.1,31,43.7,570,3587,1726,61,31,25,26,16,692,208,Matches
84,Sirlord Conteh,de GER,"FW,MF",Heidenheim,28-306,1996,9.9,301,4,38,120,152,34,301,13,6,46.2,6,46.2,195,1243,705,29,11,12,23,8,218,75,Matches
85,Danny da Costa,de GER,DF,Mainz 05,31-302,1993,21.3,1411,98,551,760,110,2,1411,15,6,40.0,9,60.0,793,3415,1589,20,18,2,22,7,869,22,Matches
86,Yan Couto,br BRA,"DF,FW",Dortmund,22-342,2002,9.9,841,28,223,380,246,16,841,32,12,37.5,18,56.3,479,2836,1461,46,31,6,14,7,544,83,Matches
87,Tomáš Čvančara,cz CZE,FW,Gladbach,24-271,2000,9.0,332,19,47,150,136,34,332,17,6,35.3,9,52.9,182,890,352,15,7,5,18,6,231,50,Matches
88,Finn Dahmen,de GER,GK,Augsburg,27-045,1998,17.0,730,492,709,21,0,0,730,0,0,,0,,430,2229,1271,0,0,0,0,0,386,0,Matches
89,Thomas Dähne,de GER,GK,Holstein Kiel,31-127,1994,8.0,381,308,376,5,0,0,381,0,0,,0,,211,1004,531,0,0,0,0,0,195,0,Matches
90,Mahmoud Dahoud,de GER,MF,Eint Frankfurt,29-130,1996,4.0,263,8,65,150,49,3,263,3,1,33.3,2,66.7,160,521,211,1,6,0,4,2,192,6,Matches
91,Ameen Al-Dakhil,be BEL,DF,Stuttgart,23-066,2002,4.8,407,67,217,185,6,0,407,0,0,,0,,239,1305,616,1,0,0,3,0,264,0,Matches
92,Bence Dárdai,hu HUN,MF,Wolfsburg,19-107,2006,14.3,591,25,144,313,134,18,591,12,3,25.0,5,41.7,285,995,373,4,6,0,17,11,335,23,Matches
93,Lukas Daschner,de GER,"MF,FW",Bochum,26-222,1998,4.6,213,5,26,100,90,14,212,15,5,33.3,10,66.7,116,606,260,8,7,1,21,2,131,19,Matches
94,Alphonso Davies,ca CAN,DF,Bayern Munich,24-190,2000,17.3,1463,33,263,720,498,49,1463,68,31,45.6,31,45.6,895,5191,2807,81,53,21,33,19,1057,140,Matches
95,Olivier Deman,be BEL,DF,Werder Bremen,25-035,2000,0.7,75,3,30,26,19,2,75,1,0,0.0,1,100.0,31,225,72,2,0,0,0,0,31,1,Matches
96,Ermedin Demirović,ba BIH,FW,Stuttgart,27-047,1998,20.1,560,9,42,232,288,117,558,24,4,16.7,19,79.2,295,1335,577,20,16,9,38,27,422,114,Matches
97,Justin Diehl,de GER,"FW,DF",Stuttgart,20-165,2004,1.2,84,1,5,27,53,9,84,13,3,23.1,10,76.9,55,402,200,5,3,3,2,3,60,20,Matches
98,Eric Dier,eng ENG,DF,Bayern Munich,31-116,1994,15.3,1498,117,501,939,62,19,1498,3,2,66.7,1,33.3,877,3778,2007,12,10,0,7,2,1095,1,Matches
99,Junior Dina Ebimbe,fr FRA,"MF,FW",Eint Frankfurt,24-171,2000,3.3,161,5,27,74,62,16,161,11,5,45.5,5,45.5,82,408,197,5,6,3,8,4,105,27,Matches
100,Eren Dinkçi,de GER,"MF,FW",Freiburg,23-149,2001,13.3,552,6,71,259,233,36,552,39,16,41.0,23,59.0,269,1733,941,33,26,9,31,12,347,71,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
101,Ritsu Doan,jp JPN,"FW,MF",Freiburg,26-329,1998,30.8,1472,39,209,639,646,105,1472,122,55,45.1,56,45.9,801,4294,2024,62,51,25,57,57,984,175,Matches
102,Danilho Doekhi,nl NED,DF,Union Berlin,26-315,1998,33.0,1606,169,750,723,143,64,1606,5,3,60.0,1,20.0,855,3874,1963,13,10,0,11,5,973,14,Matches
103,Niklas Dorsch,de GER,MF,Augsburg,27-116,1998,0.4,29,1,3,18,8,0,29,1,0,0.0,1,100.0,15,57,32,1,1,0,0,0,21,0,Matches
104,Niklas Dorsch,de GER,MF,Heidenheim,27-116,1998,14.3,767,32,185,460,141,8,767,14,7,50.0,6,42.9,442,2263,957,12,8,1,16,13,466,21,Matches
105,Patrick Drewes,de GER,GK,Bochum,32-096,1993,21.0,913,709,902,11,0,0,913,0,0,,0,,479,2471,1284,0,0,0,0,0,425,0,Matches
106,Tim Drexler,de GER,DF,Hoffenheim,20-066,2005,4.0,223,18,91,125,11,0,223,0,0,,0,,128,483,208,2,2,0,3,5,143,2,Matches
107,Marvin Ducksch,de GER,FW,Werder Bremen,31-065,1994,25.9,1044,30,77,428,548,107,1042,19,7,36.8,11,57.9,499,1699,744,24,19,11,29,11,625,156,Matches
108,Julien Duranville,be BEL,"FW,MF",Dortmund,19-006,2006,3.1,129,2,8,36,87,15,129,29,12,41.4,11,37.9,97,769,407,15,9,8,6,15,103,33,Matches
109,Adam Dźwigała,pl POL,"DF,MF",St. Pauli,29-228,1995,3.5,248,27,93,121,34,6,248,2,1,50.0,1,50.0,91,307,138,1,0,0,2,2,131,4,Matches
110,Johannes Eggestein,de GER,FW,St. Pauli,27-003,1998,20.3,704,6,44,366,299,77,702,17,7,41.2,10,58.8,377,1658,615,25,17,8,51,28,534,136,Matches
111,Maximilian Eggestein,de GER,MF,Freiburg,28-154,1996,30.6,1698,65,392,1025,295,47,1698,24,11,45.8,13,54.2,793,4020,2006,34,24,3,26,19,1062,38,Matches
112,Hugo Ekitike,fr FRA,FW,Eint Frankfurt,22-325,2002,26.5,1001,27,68,406,553,188,998,113,49,43.4,59,52.2,601,4246,2239,90,56,50,92,30,737,203,Matches
113,Elif Elmas,mk MKD,MF,RB Leipzig,25-229,1999,0.5,28,1,10,13,5,2,28,1,1,100.0,0,0.0,13,33,11,0,0,0,0,2,17,2,Matches
114,Nico Elvedi,ch SUI,DF,Gladbach,28-223,1996,22.7,1742,331,1007,691,46,16,1742,0,0,,0,,909,4497,2360,18,11,0,6,1,1093,5,Matches
115,Arne Engels,be BEL,"MF,FW",Augsburg,21-245,2003,0.9,32,1,1,14,17,2,32,1,0,0.0,1,100.0,17,75,38,1,3,0,0,0,24,5,Matches
116,Patrick Erras,de GER,DF,Holstein Kiel,30-110,1995,9.2,622,124,357,242,23,14,622,0,0,,0,,282,1063,596,3,1,0,3,0,413,1,Matches
117,Samuel Essende,cd COD,FW,Augsburg,27-108,1998,18.1,563,10,43,261,270,93,563,52,14,26.9,32,61.5,346,1649,699,33,19,20,86,36,432,118,Matches
